"insee","cult_dominante","canton","commune"
"11001","Vigne","PEYRIAC-MINERVOIS","AIGUES VIVES"
"11002","GC","CASTELNAUDARY-NORD","AIROUX"
"11003","Vigne","LIMOUX","AJAC"
"11004","GC","ALAIGNE","ALAIGNE"
"11005","GC","MONTREAL","ALAIRAC"
"11006","Vigne","DURBAN-CORBIERES","ALBAS"
"11007","STH","MOUTHOUMET","ALBIERES"
"11008","STH","LIMOUX","ALET LES BAINS"
"11009","GC","ALZONNE","ALZONNE"
"11010","Vigne","COUIZA","ANTUGNAC"
"11011","Vigne","ALZONNE","ARAGON"
"11012","Vigne","GINESTAS","ARGELIERS"
"11014","Vigne","COURSAN","ARMISSAN"
"11015","STH","COUIZA","ARQUES"
"11016","Vigne","LAGRASSE","ARQUETTES EN VAL"
"11018","Vigne","MONTREAL","ARZENS"
"11019","STH","BELCAIRE","AUNAT"
"11020","STH","MOUTHOUMET","AURIAC"
"11022","Vigne","PEYRIAC-MINERVOIS","AZILLE"
"11023","Vigne","CAPENDU","BADENS"
"11024","Vigne","NARBONNE-SUD","BAGES"
"11025","Vigne","CONQUES-SUR-ORBIEL","BAGNOLES"
"11026","GC","SALLES-SUR-L'HERS","BARAIGNE"
"11027","Vigne","CAPENDU","BARBAIRA"
"11028","STH","BELCAIRE","BELCAIRE"
"11029","STH","SAINT-HILAIRE","BELCASTEL ET BUC"
"11030","GC","SALLES-SUR-L'HERS","BELFLOU"
"11032","GC","ALAIGNE","BELLEGARDE DU RAZES"
"11033","GC","BELPECH","BELPECH"
"11034","GC","ALAIGNE","BELVEZE DU RAZES"
"11036","STH","BELCAIRE","BELVIS"
"11040","Vigne","NARBONNE-OUEST","BIZANET"
"11041","Vigne","GINESTAS","BIZE MINERVOIS"
"11042","Vigne","CAPENDU","BLOMAC"
"11044","STH","MOUTHOUMET","BOUISSE"
"11045","Vigne","LIMOUX","BOURIEGE"
"11046","STH","LIMOUX","BOURIGEOLE"
"11047","STH","AXAT","LE BOUSQUET"
"11048","Vigne","LEZIGNAN-CORBIERES","BOUTENAC"
"11049","GC","FANJEAUX","BRAM"
"11051","GC","ALAIGNE","BREZILHAC"
"11052","GC","SAISSAC","BROUSSES ET VILLARET"
"11053","Vigne","ALAIGNE","BRUGAIROLLES"
"11055","STH","COUIZA","BUGARACH"
"11058","GC","ALAIGNE","CAILHAU"
"11059","GC","ALAIGNE","CAILHAVEL"
"11060","STH","AXAT","CAILLA"
"11061","GC","ALAIGNE","CAMBIEURE"
"11063","STH","QUILLAN","CAMPAGNE SUR AUDE"
"11064","Vigne","LEZIGNAN-CORBIERES","CAMPLONG D AUDE"
"11065","STH","COUIZA","CAMPS SUR L AGLY"
"11067","Vigne","NARBONNE-OUEST","CANET"
"11068","Vigne","CAPENDU","CAPENDU"
"11069","GC","CARCASSONNE-EST","CARCASSONNE"
"11069","GC","CARCASSONNE-EST","CARCASSONNE"
"11069","GC","CARCASSONNE-EST","CARCASSONNE"
"11069","GC","CARCASSONNE-EST","CARCASSONNE"
"11069","GC","CARCASSONNE-EST","CARCASSONNE"
"11069","GC","CARCASSONNE-EST","CARCASSONNE"
"11070","GC","CASTELNAUDARY-NORD","CARLIPA"
"11071","Vigne","DURBAN-CORBIERES","CASCASTEL DES CORBIERES"
"11072","GC","FANJEAUX","LA CASSAIGNE"
"11073","STH","COUIZA","CASSAIGNES"
"11074","GC","CASTELNAUDARY-NORD","LES CASSES"
"11075","STH","PEYRIAC-MINERVOIS","CASTANS"
"11076","GC","CASTELNAUDARY-NORD","CASTELNAUDARY"
"11077","Vigne","LEZIGNAN-CORBIERES","CASTELNAU D AUDE"
"11078","Vigne","LIMOUX","CASTELRENG"
"11080","STH","CHALABRE","VAL DE LAMBRONNE"
"11080","STH","CHALABRE","VAL DE LAMBRONNE"
"11081","Vigne","PEYRIAC-MINERVOIS","CAUNES MINERVOIS"
"11083","Vigne","LAGRASSE","CAUNETTES EN VAL"
"11084","GC","ALZONNE","CAUX ET SAUZENS"
"11085","Vigne","CARCASSONNE-EST","CAVANAC"
"11086","Vigne","SIGEAN","CAVES"
"11087","GC","FANJEAUX","CAZALRENOUX"
"11088","Vigne","CARCASSONNE-EST","CAZILHAC"
"11090","Vigne","LIMOUX","CEPIE"
"11091","STH","CHALABRE","CHALABRE"
"11093","STH","AXAT","LE CLAT"
"11094","STH","SAINT-HILAIRE","CLERMONT SUR LAUQUET"
"11095","Vigne","CAPENDU","COMIGNE"
"11098","Vigne","LEZIGNAN-CORBIERES","CONILHAC CORBIERES"
"11099","Vigne","CONQUES-SUR-ORBIEL","CONQUES SUR ORBIEL"
"11100","STH","CHALABRE","CORBIERES"
"11102","Vigne","CARCASSONNE-EST","COUFFOULENS"
"11103","Vigne","COUIZA","COUIZA"
"11105","Vigne","LIMOUX","COURNANEL"
"11106","Vigne","COURSAN","COURSAN"
"11111","Vigne","LEZIGNAN-CORBIERES","CRUSCADES"
"11112","STH","COUIZA","CUBIERES SUR CINOBLE"
"11113","Vigne","TUCHAN","CUCUGNAN"
"11114","GC","SALLES-SUR-L'HERS","CUMIES"
"11115","GC","SAISSAC","CUXAC CABARDES"
"11116","Vigne","COURSAN","CUXAC D AUDE"
"11117","Jachere","MOUTHOUMET","DAVEJEAN"
"11119","Vigne","LIMOUX","LA DIGNE D AMONT"
"11120","Vigne","LIMOUX","LA DIGNE D AVAL"
"11121","Vigne","ALAIGNE","DONAZAC"
"11122","Vigne","CAPENDU","DOUZENS"
"11123","Vigne","TUCHAN","DUILHAC SOUS PEYREPERTUSE"
"11124","Vigne","DURBAN-CORBIERES","DURBAN CORBIERES"
"11125","Vigne","DURBAN-CORBIERES","EMBRES ET CASTELMAURE"
